Date,AQI,Temp,Humidity,Is_Festival,Patients,Beds_%
1996-03-09,166,27.3,60.7,0,980,81.7
1996-03-10,155,27.6,63.8,0,888,74.0
1996-03-11,122,27.3,76.1,0,963,80.2
1996-03-12,153,27.1,82.2,0,1029,85.7
1996-03-13,146,28.8,65.2,0,968,80.7
1996-03-14,111,28.7,63.4,0,943,78.6
1996-03-15,157,27.3,82.5,0,987,82.2
1996-03-16,166,27.2,80.7,0,956,79.7
1996-03-17,128,26.8,74.7,0,926,77.2
1996-03-18,159,26.7,70.5,0,976,81.3
1996-03-19,144,27.7,63.7,0,999,83.3
1996-03-20,156,27.6,59.9,0,984,82.0
1996-03-21,165,27.5,63.3,0,981,81.7
1996-03-22,157,27.9,65.8,0,1037,86.4
1996-03-23,157,30.3,49.9,0,949,79.1
1996-03-24,156,30.7,44.5,0,965,80.4
1996-03-25,156,28.2,73.4,0,978,81.5
1996-03-26,165,27.2,69.7,0,941,78.4
1996-03-27,107,26.9,78.1,0,971,80.9
1996-03-28,157,27.8,75.4,0,938,78.2
1996-03-29,162,27.9,65.0,0,982,81.8
1996-03-30,134,26.3,71.6,0,979,81.6
1996-03-31,154,26.7,67.2,0,859,71.6
1996-04-01,159,27.5,46.0,0,958,79.9
1996-04-02,144,27.6,55.7,0,979,81.6
1996-04-03,159,27.2,62.5,0,939,78.3
1996-04-04,158,26.2,73.2,0,996,83.0
1996-04-05,145,26.0,73.8,1,1069,89.1
1996-04-06,155,26.3,73.8,0,1041,86.8
1996-04-07,102,29.6,59.4,0,937,78.0
1996-04-08,153,31.6,37.5,0,956,79.6
1996-04-09,170,28.9,54.8,0,959,79.9
1996-04-10,173,27.0,67.7,0,943,78.6
1996-04-11,158,26.3,72.1,0,941,78.4
1996-04-12,144,26.6,73.2,0,961,80.1
1996-04-13,153,27.8,74.9,0,966,80.5
1996-04-14,92,28.4,75.8,0,982,81.8
1996-04-15,154,28.5,74.1,0,1020,85.0
1996-04-16,132,27.6,79.8,0,968,80.7
1996-04-17,179,27.3,78.4,0,926,77.1
1996-04-18,113,27.2,77.5,0,937,78.1
1996-04-19,158,28.1,72.2,0,981,81.8
1996-04-20,165,27.4,73.2,0,947,78.9
1996-04-21,108,27.4,75.8,0,892,74.3
1996-04-22,164,27.5,75.2,0,972,81.0
1996-04-23,95,28.0,76.8,0,953,79.4
1996-04-24,165,27.5,79.2,0,1031,85.9
1996-04-25,159,27.8,78.1,0,965,80.4
1996-04-26,120,27.7,79.8,0,923,76.9
1996-04-27,154,27.8,78.8,1,1067,88.9
1996-04-28,158,27.9,77.6,0,887,73.9
1996-04-29,122,28.1,75.1,0,923,76.9
1996-04-30,121,28.5,76.2,0,974,81.2
1996-05-01,80,28.3,76.1,0,938,78.2
1996-05-02,157,28.7,71.3,0,1004,83.7
1996-05-03,154,28.5,70.8,0,985,82.1
1996-05-04,147,28.4,72.8,0,921,76.8
1996-05-05,136,28.3,77.0,0,954,79.5
1996-05-06,161,27.6,78.7,0,964,80.4
1996-05-07,179,28.1,77.2,0,945,78.7
1996-05-08,158,28.1,77.8,0,956,79.7
1996-05-09,151,28.1,74.2,0,1028,85.7
1996-05-10,164,27.8,70.7,0,893,74.5
1996-05-11,142,27.3,73.0,0,958,79.9
1996-05-12,158,27.9,70.8,0,846,70.5
1996-05-13,76,27.6,71.2,0,873,72.7
1996-05-14,151,28.4,65.7,0,937,78.1
1996-05-15,155,28.9,64.5,0,912,76.0
1996-05-16,109,28.6,73.1,0,866,72.2
1996-05-17,154,29.2,74.8,0,951,79.3
1996-05-18,159,28.8,77.5,0,965,80.5
1996-05-19,145,29.0,73.0,0,937,78.1
1996-05-20,146,29.0,71.6,0,911,75.9
1996-05-21,131,29.2,72.2,0,913,76.1
1996-05-22,73,29.0,76.0,0,939,78.2
1996-05-23,153,29.1,74.8,0,919,76.6
1996-05-24,121,28.9,75.1,0,945,78.7
1996-05-25,164,29.4,73.8,0,932,77.6
1996-05-26,127,30.1,76.2,0,860,71.7
1996-05-27,143,29.7,77.1,1,979,81.6
1996-05-28,140,30.0,68.5,0,929,77.5
1996-05-29,164,30.7,67.0,0,960,80.0
1996-05-30,157,30.4,68.3,0,899,75.0
1996-05-31,154,30.2,72.6,0,883,73.6
1996-06-01,151,30.3,72.8,0,938,78.2
1996-06-02,112,30.2,72.9,0,946,78.8
1996-06-03,153,29.8,73.0,0,852,71.0
1996-06-04,153,29.6,75.2,0,905,75.4
1996-06-05,137,29.9,77.6,0,935,77.9
1996-06-06,151,29.8,78.5,0,844,70.3
1996-06-07,93,29.7,77.2,0,944,78.7
1996-06-08,158,30.0,76.7,0,984,82.0
1996-06-09,161,28.8,82.6,0,792,66.0
1996-06-10,153,28.4,80.8,0,844,70.3
1996-06-11,160,26.9,87.3,0,921,76.7
1996-06-12,89,27.0,87.5,0,983,81.9
1996-06-13,152,27.9,85.0,0,841,70.1
1996-06-14,139,27.9,84.8,0,882,73.5
1996-06-15,132,29.0,80.3,0,890,74.2
1996-06-16,157,28.9,78.7,0,807,67.2
1996-06-17,137,27.9,82.4,0,970,80.8
1996-06-18,94,26.8,89.4,0,911,75.9
1996-06-19,131,27.6,87.6,0,877,73.1
1996-06-20,147,28.1,85.7,0,904,75.4
1996-06-21,88,27.2,88.6,0,963,80.3
1996-06-22,150,26.8,89.8,0,892,74.4
1996-06-23,96,26.6,89.0,0,821,68.4
1996-06-24,154,27.0,90.5,0,891,74.2
1996-06-25,135,27.9,87.0,0,888,74.0
1996-06-26,139,27.8,83.2,0,889,74.1
1996-06-27,144,27.7,84.8,0,886,73.8
1996-06-28,145,27.2,88.4,0,915,76.3
1996-06-29,109,26.7,89.3,0,859,71.6
1996-06-30,80,26.9,86.5,0,814,67.8
1996-07-01,78,26.1,90.6,0,919,76.5
1996-07-02,109,26.4,89.9,0,943,78.6
1996-07-03,160,26.6,90.2,0,886,73.8
1996-07-04,58,26.9,87.5,0,870,72.5
1996-07-05,105,27.2,86.7,0,829,69.1
1996-07-06,97,27.6,85.7,0,892,74.3
1996-07-07,90,27.1,87.4,0,804,67.0
1996-07-08,79,27.3,86.6,0,943,78.6
1996-07-09,97,27.1,86.8,0,848,70.6
1996-07-10,90,26.8,87.4,0,911,75.9
1996-07-11,79,26.6,88.8,0,892,74.4
1996-07-12,127,26.5,89.0,0,901,75.1
1996-07-13,151,26.2,90.4,0,853,71.1
1996-07-14,140,26.2,90.5,0,795,66.2
1996-07-15,85,26.0,91.7,0,913,76.1
1996-07-16,127,26.8,88.8,0,869,72.4
1996-07-17,58,26.7,88.4,0,888,74.0
1996-07-18,75,26.8,88.2,0,833,69.4
1996-07-19,73,26.1,90.4,0,874,72.9
1996-07-20,8,25.6,92.6,0,877,73.1
1996-07-21,98,25.8,91.0,0,794,66.2
1996-07-22,129,25.6,91.9,0,884,73.7
1996-07-23,71,25.9,90.8,0,837,69.7
1996-07-24,114,26.3,87.4,0,805,67.1
1996-07-25,79,25.7,91.0,0,836,69.7
1996-07-26,90,25.6,91.2,0,865,72.1
1996-07-27,89,25.5,90.4,1,993,82.8
1996-07-28,94,24.8,91.2,0,796,66.3
1996-07-29,44,25.0,90.8,0,880,73.3
1996-07-30,103,25.4,90.1,0,905,75.4
1996-07-31,61,25.2,91.0,0,853,71.1
1996-08-01,82,25.5,90.1,0,848,70.6
1996-08-02,83,26.2,86.6,0,788,65.7
1996-08-03,110,26.2,86.0,0,872,72.7
1996-08-04,121,26.1,87.3,0,881,73.4
1996-08-05,71,26.0,86.4,0,845,70.4
1996-08-06,80,25.9,86.7,0,916,76.3
1996-08-07,8,26.1,85.6,0,862,71.8
1996-08-08,13,25.5,88.9,0,751,62.6
1996-08-09,8,26.3,84.8,0,793,66.1
1996-08-10,114,26.1,86.8,0,811,67.5
1996-08-11,69,26.1,87.4,0,751,62.6
1996-08-12,95,25.9,88.6,0,800,66.7
1996-08-13,121,25.6,90.2,0,803,66.9
1996-08-14,50,25.8,90.1,0,843,70.2
1996-08-15,75,25.8,89.3,1,984,82.0
1996-08-16,77,25.5,90.2,0,793,66.1
1996-08-17,55,25.5,91.4,0,815,67.9
1996-08-18,95,25.8,89.5,0,800,66.7
1996-08-19,68,25.7,88.6,0,865,72.1
1996-08-20,54,25.5,91.1,0,828,69.0
1996-08-21,76,25.8,89.0,0,887,73.9
1996-08-22,67,25.8,89.0,0,819,68.2
1996-08-23,22,25.9,89.0,0,855,71.3
1996-08-24,49,25.9,88.1,0,842,70.2
1996-08-25,8,26.3,85.8,0,819,68.2
1996-08-26,8,26.2,87.0,0,801,66.7
1996-08-27,102,25.7,89.5,0,780,65.0
1996-08-28,65,26.2,80.1,0,830,69.2
1996-08-29,19,26.0,85.4,0,875,72.9
1996-08-30,116,25.4,90.7,0,755,62.9
1996-08-31,8,25.6,89.8,0,854,71.2
1996-09-01,8,25.6,90.1,0,763,63.6
1996-09-02,69,25.6,88.8,0,849,70.7
1996-09-03,57,25.7,88.5,0,827,68.9
1996-09-04,28,26.0,88.4,0,869,72.5
1996-09-05,45,26.3,86.2,0,835,69.6
1996-09-06,43,25.7,89.6,0,826,68.8
1996-09-07,58,25.8,89.6,0,816,68.0
1996-09-08,10,26.1,88.7,0,802,66.8
1996-09-09,109,26.3,85.8,0,829,69.1
1996-09-10,85,26.3,87.5,0,850,70.9
1996-09-11,91,26.5,86.8,0,831,69.2
1996-09-12,68,26.3,87.6,0,850,70.9
1996-09-13,63,26.5,88.4,0,784,65.3
1996-09-14,62,26.5,88.0,0,751,62.6
1996-09-15,61,26.6,85.6,0,785,65.4
1996-09-16,100,26.1,89.7,0,823,68.6
1996-09-17,90,26.2,88.7,0,818,68.1
1996-09-18,8,26.0,88.5,0,767,63.9
1996-09-19,8,25.7,89.5,0,768,64.0
1996-09-20,80,26.4,85.3,0,810,67.5
1996-09-21,78,25.9,86.4,0,819,68.3
1996-09-22,93,26.3,84.4,0,807,67.2
1996-09-23,27,26.5,85.0,0,807,67.2
1996-09-24,34,27.4,85.7,0,758,63.2
1996-09-25,81,27.7,85.0,0,859,71.6
1996-09-26,59,27.6,86.5,0,798,66.5
1996-09-27,94,27.2,83.7,0,732,61.0
1996-09-28,65,27.3,80.0,0,821,68.4
1996-09-29,31,26.7,81.4,0,818,68.2
1996-09-30,90,26.8,81.4,0,807,67.2
1996-10-01,56,27.2,82.6,0,802,66.8
1996-10-02,35,27.4,87.5,1,865,72.1
1996-10-03,104,26.4,89.3,0,853,71.1
1996-10-04,85,27.1,82.1,0,777,64.7
1996-10-05,130,26.3,84.4,0,888,74.0
1996-10-06,65,25.7,86.1,0,736,61.3
1996-10-07,13,25.8,85.2,0,832,69.3
1996-10-08,11,26.6,85.0,0,815,68.0
1996-10-09,94,28.0,79.2,0,763,63.6
1996-10-10,128,28.0,75.5,0,874,72.8
1996-10-11,8,27.3,69.0,0,766,63.9
1996-10-12,51,27.7,66.0,0,780,65.0
1996-10-13,52,27.8,65.4,0,677,56.4
1996-10-14,53,27.7,68.3,0,883,73.6
1996-10-15,8,27.4,69.6,0,809,67.4
1996-10-16,8,27.8,64.8,0,842,70.1
1996-10-17,54,27.8,64.3,0,889,74.1
1996-10-18,68,27.6,65.3,0,806,67.2
1996-10-19,79,27.5,63.5,0,802,66.8
1996-10-20,8,27.8,76.5,0,783,65.3
1996-10-21,57,26.3,85.8,0,827,68.9
1996-10-22,75,26.6,83.6,0,803,66.9
1996-10-23,76,26.3,86.0,0,884,73.7
1996-10-24,8,26.5,82.1,0,885,73.7
1996-10-25,56,26.1,82.9,0,795,66.3
1996-10-26,149,26.3,79.5,0,829,69.1
1996-10-27,110,25.8,84.0,0,805,67.1
1996-10-28,8,26.0,84.8,0,829,69.1
1996-10-29,46,25.3,86.3,0,777,64.7
1996-10-30,8,25.5,81.6,0,829,69.1
1996-10-31,85,25.4,77.9,0,840,70.0
1996-11-01,57,25.4,75.8,0,798,66.5
1996-11-02,21,25.7,73.8,0,807,67.3
1996-11-03,19,25.4,71.1,0,773,64.4
1996-11-04,67,25.1,73.1,0,797,66.4
1996-11-05,61,25.2,74.2,0,802,66.8
1996-11-06,69,25.5,68.1,0,849,70.7
1996-11-07,75,25.3,68.1,0,848,70.7
1996-11-08,8,25.9,70.8,0,818,68.2
1996-11-09,80,25.9,83.2,0,856,71.3
1996-11-10,8,25.3,87.0,0,791,65.9
1996-11-11,112,25.0,84.1,0,828,69.0
1996-11-12,70,25.1,74.0,0,851,70.9
1996-11-13,81,25.1,74.4,0,860,71.7
1996-11-14,76,26.3,67.5,0,842,70.2
1996-11-15,48,26.9,57.2,0,832,69.3
1996-11-16,118,25.6,57.8,0,831,69.3
1996-11-17,70,25.5,60.7,0,774,64.5
1996-11-18,102,25.6,60.8,0,810,67.5
1996-11-19,107,25.1,64.0,0,808,67.3
1996-11-20,37,24.7,67.6,0,850,70.8
1996-11-21,82,25.1,65.0,0,854,71.2
1996-11-22,115,25.1,63.2,0,829,69.1
1996-11-23,94,26.4,67.3,0,812,67.7
1996-11-24,124,26.6,69.5,0,821,68.4
1996-11-25,98,26.0,66.4,0,854,71.2
1996-11-26,57,25.8,64.5,0,836,69.7
1996-11-27,98,25.9,62.0,0,849,70.7
1996-11-28,87,25.7,61.9,0,801,66.8
1996-11-29,90,25.3,66.9,0,826,68.9
1996-11-30,50,25.0,69.3,0,847,70.6
1996-12-01,8,25.5,67.2,0,831,69.2
1996-12-02,116,25.0,66.6,0,853,71.1
1996-12-03,56,25.1,60.7,0,822,68.5
1996-12-04,83,24.7,59.4,0,770,64.1
1996-12-05,94,24.0,62.8,0,882,73.5
1996-12-06,80,24.6,58.0,0,841,70.1
1996-12-07,96,25.2,55.6,0,873,72.7
1996-12-08,131,25.7,58.8,0,814,67.8
1996-12-09,70,24.9,58.4,0,846,70.5
1996-12-10,98,24.0,57.7,0,920,76.6
1996-12-11,83,23.5,57.6,0,827,68.9
1996-12-12,67,23.8,54.6,0,791,65.9
1996-12-13,107,24.5,52.5,0,818,68.2
1996-12-14,57,26.0,60.7,0,797,66.4
1996-12-15,62,26.6,67.1,0,842,70.2
1996-12-16,56,27.2,68.2,0,808,67.3
1996-12-17,106,27.7,62.7,0,860,71.6
1996-12-18,116,27.2,67.8,0,900,75.0
1996-12-19,100,27.0,61.6,0,828,69.0
1996-12-20,97,25.6,59.8,0,894,74.5
1996-12-21,83,24.8,61.1,0,825,68.8
1996-12-22,145,24.9,64.3,0,815,67.9
1996-12-23,91,24.7,66.8,0,880,73.3
1996-12-24,144,24.9,69.2,0,890,74.2
1996-12-25,95,25.2,67.0,1,1002,83.5
1996-12-26,159,25.5,60.7,0,933,77.8
1996-12-27,134,25.6,57.1,0,844,70.3
1996-12-28,172,25.6,58.5,0,842,70.2
1996-12-29,97,25.2,58.6,0,814,67.8
1996-12-30,156,25.1,59.6,0,903,75.3
1996-12-31,66,25.3,56.3,0,899,74.9
1997-01-01,133,24.9,54.9,0,878,73.1
1997-01-02,73,24.9,56.5,0,864,72.0
1997-01-03,98,23.8,61.1,0,893,74.4
1997-01-04,97,23.0,65.5,0,919,76.6
1997-01-05,84,23.2,67.3,0,784,65.3
1997-01-06,92,24.0,69.4,0,944,78.7
1997-01-07,98,24.4,72.2,0,981,81.7
1997-01-08,138,24.3,62.2,0,856,71.3
1997-01-09,91,25.2,49.5,0,908,75.7
1997-01-10,81,25.4,50.5,0,986,82.2
1997-01-11,88,24.6,63.8,0,926,77.2
1997-01-12,157,24.0,66.3,0,851,70.9
1997-01-13,89,24.2,59.9,0,894,74.5
1997-01-14,140,23.4,57.8,0,937,78.1
1997-01-15,129,23.3,44.2,0,856,71.3
1997-01-16,130,22.9,45.3,0,883,73.6
1997-01-17,55,22.7,64.2,0,884,73.6
1997-01-18,80,23.2,75.0,0,931,77.6
1997-01-19,162,23.1,77.1,0,930,77.5
1997-01-20,111,22.2,66.7,0,895,74.6
1997-01-21,153,20.2,60.3,0,952,79.3
1997-01-22,118,21.8,51.5,0,909,75.8
1997-01-23,165,22.7,50.6,0,912,76.0
1997-01-24,118,23.3,48.5,0,921,76.8
1997-01-25,153,23.7,51.5,0,881,73.4
1997-01-26,128,23.6,57.2,1,925,77.1
1997-01-27,128,23.1,66.5,0,988,82.3
1997-01-28,154,23.9,57.2,0,918,76.5
1997-01-29,106,24.1,57.2,0,911,75.9
1997-01-30,157,22.9,63.2,0,903,75.3
1997-01-31,161,21.5,72.8,0,875,72.9
1997-02-01,132,21.3,69.6,0,988,82.4
1997-02-02,73,21.7,79.2,0,922,76.8
1997-02-03,79,22.2,76.2,0,925,77.0
1997-02-04,139,21.5,68.8,0,958,79.9
1997-02-05,28,22.3,59.4,0,861,71.7
1997-02-06,126,22.5,63.4,0,932,77.7
1997-02-07,115,22.2,59.3,0,924,77.0
1997-02-08,105,22.4,63.7,1,1014,84.5
1997-02-09,118,22.0,71.0,0,895,74.5
1997-02-10,156,21.1,65.2,0,986,82.2
1997-02-11,127,23.7,43.7,0,924,77.0
1997-02-12,152,24.7,45.2,0,926,77.2
1997-02-13,151,24.4,48.8,0,881,73.4
1997-02-14,155,23.7,53.4,0,905,75.5
1997-02-15,119,23.8,56.2,0,882,73.5
1997-02-16,161,23.2,68.2,0,887,73.9
1997-02-17,161,22.1,77.6,0,951,79.2
1997-02-18,94,21.8,75.5,0,903,75.2
1997-02-19,158,22.1,73.9,0,915,76.3
1997-02-20,117,22.8,66.7,0,937,78.1
1997-02-21,151,24.1,59.2,0,908,75.6
1997-02-22,147,24.9,53.8,0,928,77.3
1997-02-23,68,25.4,54.7,0,916,76.3
1997-02-24,130,25.6,55.2,0,993,82.8
1997-02-25,118,25.8,54.2,0,890,74.2
1997-02-26,162,25.6,57.2,0,891,74.2
1997-02-27,138,25.7,61.9,0,970,80.8
1997-02-28,500,27.7,47.5,0,890,74.1
1997-03-01,155,26.9,48.1,0,943,78.6
1997-03-02,164,26.9,54.9,0,924,77.0
1997-03-03,177,27.1,54.2,0,892,74.3
1997-03-04,154,25.7,66.5,0,913,76.1
1997-03-05,163,25.4,70.0,0,982,81.8
1997-03-06,160,26.1,56.8,0,925,77.1
1997-03-07,138,27.4,49.9,0,880,73.4
1997-03-08,168,28.6,47.3,0,972,81.0
1997-03-09,152,27.0,64.6,0,940,78.3
1997-03-10,160,28.6,56.5,0,990,82.5
1997-03-11,107,28.9,46.6,0,930,77.5
1997-03-12,156,26.6,72.1,0,968,80.7
1997-03-13,162,25.9,80.2,0,920,76.6
1997-03-14,156,26.5,72.3,0,1036,86.3
1997-03-15,160,28.7,52.2,0,988,82.3
1997-03-16,155,29.5,49.3,0,937,78.1
1997-03-17,169,30.1,45.6,0,961,80.1
1997-03-18,164,28.7,51.9,0,926,77.2
1997-03-19,160,28.2,54.6,0,991,82.6
1997-03-20,142,27.7,59.3,0,998,83.2
1997-03-21,145,26.7,67.4,0,930,77.5
1997-03-22,155,25.5,66.2,0,1028,85.7
1997-03-23,158,25.0,61.0,0,945,78.7
1997-03-24,144,25.9,68.3,0,962,80.2
1997-03-25,127,26.1,71.1,0,939,78.2
1997-03-26,162,26.8,73.0,0,958,79.9
1997-03-27,167,27.3,73.7,0,952,79.4
1997-03-28,154,28.6,64.9,1,1102,91.8
1997-03-29,147,29.5,54.2,0,905,75.4
1997-03-30,165,28.2,46.9,0,927,77.2
1997-03-31,92,25.8,63.8,0,962,80.1
1997-04-01,152,25.6,71.8,0,1023,85.2
1997-04-02,144,25.4,78.2,0,939,78.3
1997-04-03,138,25.5,71.3,0,922,76.8
1997-04-04,145,24.9,66.0,0,908,75.7
1997-04-05,133,27.0,62.3,0,902,75.2
1997-04-06,116,27.8,58.1,0,856,71.3
1997-04-07,151,27.6,65.1,0,935,77.9
1997-04-08,125,27.3,73.8,0,977,81.4
1997-04-09,155,25.9,73.6,0,944,78.7
1997-04-10,152,25.8,70.7,0,1017,84.7
1997-04-11,157,26.6,74.7,0,976,81.3
1997-04-12,78,26.6,75.8,0,935,77.9
1997-04-13,91,26.5,76.8,0,895,74.6
1997-04-14,158,26.8,77.0,0,934,77.8
1997-04-15,159,26.9,72.6,0,921,76.8
1997-04-16,159,26.0,71.4,0,902,75.1
1997-04-17,153,26.1,67.3,1,1068,89.0
1997-04-18,159,26.3,70.2,0,952,79.4
1997-04-19,170,26.5,71.6,0,942,78.5
1997-04-20,151,27.2,67.2,0,809,67.4
1997-04-21,168,27.6,65.3,0,943,78.5
1997-04-22,124,28.5,64.0,0,1003,83.6
1997-04-23,164,28.9,68.4,0,959,79.9
1997-04-24,114,29.6,70.2,0,970,80.8
1997-04-25,143,30.2,66.5,0,912,76.0
1997-04-26,162,30.5,67.0,0,877,73.1
1997-04-27,159,30.4,65.8,0,922,76.8
1997-04-28,170,30.6,58.5,0,964,80.4
1997-04-29,90,29.2,71.3,0,922,76.8
1997-04-30,154,29.0,74.0,0,964,80.3
1997-05-01,161,29.2,70.9,0,880,73.4
1997-05-02,151,29.1,71.4,0,985,82.1
1997-05-03,166,28.4,69.6,0,1017,84.7
1997-05-04,148,27.6,75.2,0,940,78.4
1997-05-05,167,27.8,74.4,0,991,82.6
1997-05-06,159,27.9,75.5,0,977,81.4
1997-05-07,131,28.2,75.0,0,895,74.6
1997-05-08,161,28.4,73.7,0,934,77.8
1997-05-09,153,28.3,74.0,0,924,77.0
1997-05-10,144,28.1,73.2,0,953,79.4
1997-05-11,120,27.5,72.1,0,898,74.9
1997-05-12,154,28.2,73.0,0,940,78.4
1997-05-13,129,27.9,75.8,0,971,80.9
1997-05-14,167,27.7,73.1,0,920,76.6
1997-05-15,162,27.9,74.2,0,973,81.0
1997-05-16,62,28.7,76.7,1,1008,84.0
1997-05-17,130,28.5,76.4,0,967,80.6
1997-05-18,153,28.4,77.4,0,907,75.6
1997-05-19,156,28.9,73.6,0,905,75.4
1997-05-20,124,29.2,68.4,0,892,74.3
1997-05-21,145,29.4,67.5,0,931,77.6
1997-05-22,152,29.1,72.6,0,908,75.7
1997-05-23,158,28.9,71.8,0,966,80.5
1997-05-24,163,28.8,71.9,0,958,79.8
1997-05-25,152,28.6,71.7,0,908,75.6
1997-05-26,155,28.4,71.8,0,907,75.6
1997-05-27,160,28.6,71.6,0,991,82.6
1997-05-28,165,28.8,68.8,0,930,77.5
1997-05-29,152,29.6,64.2,0,942,78.5
1997-05-30,143,29.6,70.0,0,949,79.0
1997-05-31,138,29.4,73.3,0,918,76.5
1997-06-01,163,26.9,83.2,0,882,73.5
1997-06-02,143,28.8,74.9,0,955,79.6
1997-06-03,145,28.3,81.5,0,932,77.7
1997-06-04,137,28.9,80.8,0,877,73.1
1997-06-05,137,29.1,79.6,0,879,73.2
1997-06-06,145,29.1,80.0,0,876,73.0
1997-06-07,155,29.1,80.6,0,944,78.7
1997-06-08,146,29.1,80.1,0,865,72.1
1997-06-09,150,29.0,80.5,0,844,70.4
1997-06-10,93,28.1,84.5,0,909,75.7
1997-06-11,145,28.2,82.7,0,910,75.8
1997-06-12,95,28.4,82.0,0,917,76.4
1997-06-13,114,27.8,84.7,0,872,72.7
1997-06-14,142,28.2,84.0,0,902,75.2
1997-06-15,156,27.3,85.5,0,884,73.7
1997-06-16,152,27.3,84.9,0,919,76.5
1997-06-17,95,27.3,86.8,0,872,72.7
1997-06-18,75,26.7,89.9,0,1008,84.0
1997-06-19,86,26.1,92.8,0,896,74.7
1997-06-20,110,25.8,92.4,0,892,74.3
1997-06-21,101,26.4,91.6,0,834,69.5
1997-06-22,86,26.6,90.2,0,802,66.8
1997-06-23,116,26.7,90.7,0,874,72.8
1997-06-24,94,28.2,86.1,0,905,75.4
1997-06-25,97,28.4,85.3,0,930,77.5
1997-06-26,103,27.5,89.5,0,903,75.2
1997-06-27,72,27.0,89.9,0,917,76.4
1997-06-28,100,26.7,91.6,0,907,75.6
1997-06-29,127,27.6,89.2,0,837,69.7
1997-06-30,122,27.2,89.6,0,876,73.0
1997-07-01,154,26.8,89.2,0,922,76.9
1997-07-02,129,26.5,90.1,0,845,70.4
1997-07-03,74,26.2,91.5,0,862,71.9
1997-07-04,100,26.0,91.8,0,901,75.1
1997-07-05,78,26.2,91.5,0,926,77.2
1997-07-06,108,25.7,93.1,0,762,63.5
1997-07-07,90,26.0,91.9,0,788,65.7
1997-07-08,80,26.7,89.9,0,860,71.7
1997-07-09,84,27.8,87.0,0,867,72.3
